GMT_timestamp      , local_timestamp    , trial_file_version , link                                                 , calibration           , id  , age  , gender    , education                                 , handedness  , duration_s,      ,              ,          ,         ,      , 
2025-03-18_16:14:56, 2025-03-18_18:14:56, 2020-02-18_14:53:12, https://www.testable.org/experiment/3628/918641/start, 0.8                   , shsh, "26" , man       , Bachelor degree                           , right-handed, 789.161   ,      ,              ,          ,         ,      , 
                   ,                    ,                    ,                                                      ,                       ,     ,      ,           ,                                           ,             ,           ,      ,              ,          ,         ,      , 
rowNo              , type               , condition1         , trialNo                                              , stim1                 , key , ITI  , stimFormat, trialText                                 , keyboard    , ITI_ms    , ITI_f, ITI_fDuration, timestamp, response, RT   , correct
"14"               , test               , learn              , "1"                                                  , B1_Identical_Left     , "2" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.67"      , 313291   , "2"     , 2083 , "1"
"15"               , test               , learn              , "2"                                                  , B2_Identical_Frontal  , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 28   , "17.86"      , 315989   , "3"     , 2198 , "1"
"16"               , test               , learn              , "3"                                                  , B3_Identical_Right    , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 29   , "17.24"      , 318861   , "3"     , 2405 , "1"
"21"               , test               , learn              , "4"                                                  , D1_Identical_Left     , "2" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.67"      , 339308   , "2"     , 2119 , "1"
"22"               , test               , learn              , "5"                                                  , D2_Identical_Frontal  , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.67"      , 341805   , "3"     , 1998 , "1"
"23"               , test               , learn              , "6"                                                  , D3_Identical_Right    , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 30   , "16.66"      , 343979   , "3"     , 1690 , "1"
"28"               , test               , learn              , "7"                                                  , J_1_Iden_L            , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 28   , "17.86"      , 357895   , "3"     , 1888 , "1"
"29"               , test               , learn              , "8"                                                  , J_2_Iden_Front        , "3" , "500", .jpg      , Which face did you just view?             , 1 2 3       , 500       , 21   , "23.81"      , 360328   , "3"     , 2055 , "1"
